Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
575,پیروزی خ بیدهندی,69,4,2,20,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,53623000,3700000000
576,جنت آباد شاهین شمالی خ بهار,72,4,2,23,0,1,0,0,4,شخصي,"شوفاژ,کولر",آجر,90277000,6500000000
577,ستاری پیامبر مركزی,135,0,3,30,1,1,0,1,3,شخصي,"کولر,گاز",سنگ,137037000,18500000000
578,شهرك راه آهن دهكده المپیك,124,4,2,30,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,75000000,9300000000
579,آیت الله كاشانی خ حسن آباد,100,2,2,1,1,1,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,130000000,13000000000
580,پیروزی خ محوی,77,2,2,20,1,1,0,1,4,شخصي,"کولر,گاز",آجر سه سانت,58441000,4500000000
581,میرداماد خ شاه نظری,135,4,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,150000000,20250000000
582,جنت آباد شمالی خ بهارستان,135,0,3,30,0,1,0,1,3,شخصي,"شوفاژ,کولر",سنگ,112592000,15200000000
583,بلوار فردوس غرب شقایق جنوبی,103,2,2,9,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,100000000,10300000000
584,انتهای همت غرب بلوار جوزانی,157,15,3,6,1,1,1,1,19,تعاوني,"آسانسور,پکیج",سنگ,101273000,15900000000
585,خ دماوند خ یونسیان,85,2,2,9,0,1,1,0,5,شخصي,"کولر,آسانسور,پکیج",سنگ,65882000,5600000000
586,پیروزی خ نبرد شمالی,54,5,1,23,0,1,1,0,5,شخصي,"کولر,آسانسور,گاز",سنگ,64814000,3500000000
587,مجیدیه جنوبی ك امامیان,50,3,1,30,0,0,0,0,4,قولنامه اي,"کولر,گاز",سنگ,42000000,2100000000
588,شهرك راه آهن بلواراردستانی,130,7,3,0,1,1,1,1,25,تعاوني,"آسانسور,پکیج",سنگ,100000000,13000000000
589,شهرك راه آهن بلواركوهك,129,4,3,5,1,1,1,1,16,تعاوني,"آسانسور,پکیج",سنگ,69767000,9000000000
590,مجیدیه شمالی خ استاد حسن بنا شمالی,112,2,1,3,1,0,1,0,4,شخصي,"شوفاژ,کولر,آسانسور",سنگ,100000000,11200000000
591,نارمك خ دردشت,90,2,2,0,0,1,1,1,4,شخصي,"آسانسور,پکیج",سنگ,116666000,10500000000
592,سوهانك خ ازگلی,133,3,3,20,1,1,0,1,3,شخصي,"شوفاژ,کولر",سنگ,120000000,15960000000
593,شیخ بهایی شمالی خ عرفی شیرازی,125,3,2,25,1,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,160000000,20000000000
594,جنت آباد شمالی علامه بهاران,53,0,1,30,0,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",سنگ,108490000,5750000000
595,سیمون بولیوار نبش جنت آباد,62,3,2,20,0,1,0,1,5,شخصي,"شوفاژ,کولر",سنگ,100000000,6200000000
596,خواجه نصیر خ سرباز,107,4,3,16,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,60747000,6500000000
597,نظام آباد خ مدنی جنوبی خ بخشی فرد,46,0,1,21,0,0,0,0,3,شخصي,"کولر,حیاط خلوت,گاز",سنگ,56521000,2600000000
598,شهرك راه آهن بلوار كوهك,145,15,3,1,1,1,1,1,15,تعاوني,"آسانسور,پکیج",سنگ,100000000,14500000000
599,كمیل بین سلیمانی و تیموری خ درویش,50,4,1,11,0,0,0,0,4,شخصي,"کولر,گاز",سنگ,58000000,2900000000
600,هروی حسین آباد,150,2,3,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,150000000,21000000000
601,شهرك راه آهن بلوار كاج,138,6,2,2,1,1,1,1,18,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,85144000,11750000000
602,اختیاریه جنب بانك پارسیان,115,5,2,0,1,1,1,1,5,دردست اقدام,"کولر,آسانسور,گاز",سنگ,190000000,21850000000
603,پاسداران بوستان نهم,160,3,3,10,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",,175000000,28000000000
604,بزرگراه ارتش بلوار اوشان,114,14,1,20,1,1,1,1,16,تعاوني,"آسانسور,استخر,حیاط,زیر زمین,مستخدم,چیلر,سونا,جکوزی,گاز",کلاسيک,95000000,10830000000
605,اقدسیه خ موحد دانش,105,2,2,0,1,1,1,1,5,اوقافي,"کولر,آسانسور,گاز",سنگ,190000000,19950000000
606,جلفا نرسیده به قهرمان,75,1,2,20,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,106666000,8000000000
607,دربند گلابدره,90,1,2,20,0,1,0,1,3,قولنامه اي,"کولر,گاز",سيمان,45000000,4050000000
608,پیروزی خ پاسدارگمنام,66,1,2,6,0,0,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,پاسیو,پکیج,گاز",سنگ,54545000,3600000000
609,جشنواره خ جعفر پناه خ نباتی,54,3,1,12,1,1,0,0,4,شخصي,"کولر,گاز",سنگ,70370000,3800000000
610,سئول روبروی مجموعه ورزشی انقلاب,300,0,2,30,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",آجر,73333000,22000000000
611,شهرك غرب خ طاهرخانی,125,-1,3,30,0,0,0,0,4,شخصي,"شوفاژ,کولر,حیاط",آجر سه سانت,100000000,12500000000
612,مفتح شمالی نرسیده به خ زهره,125,3,3,28,0,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,64000000,8000000000
613,ملاصدرا خ پردیس,146,2,3,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,170000000,24820000000
614,شهرك غرب خ مهستان,168,1,3,28,1,1,0,1,4,شخصي,"شوفاژ,کولر",سيمان,150000000,25200000000
615,نارمك خ دردشت خ حاجی صادقی,100,-1,2,22,1,1,0,0,4,شخصي,"کولر,حیاط,پکیج",آجر سه سانت,75000000,7500000000
616,خواجه نظام خ اجاره دار,72,4,2,20,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,50000000,3600000000
617,خواجه نظام خ اجاره دار,62,4,2,15,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",ترکیبی,50000000,3100000000
618,دریان نو ك یازدهم,148,4,3,16,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,105405000,15600000000
619,سبلان شمالی خ محسن آزادی,45,3,1,19,0,1,0,0,5,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,62222000,2800000000
620,بزرگراه رسالت خ حیدرخانی,93,3,2,18,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,107526000,10000000000
621,انتهای همت غرب بلوار اردستانی,108,15,2,0,1,1,1,1,20,تعاوني,"آسانسور,پکیج",ترکیبی,85648000,9250000000
