Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
9622,دلاوران تكاوران شمالی,47,1,1,16,0,1,0,0,3,قولنامه اي,"کولر,گاز",سنگ,27650000,1300000000
9623,بزرگراه رسالت خ حیدرخانی خ مظاهری,131,2,3,0,1,0,1,1,4,دردست اقدام,"شوفاژ,کولر,آسانسور,پکیج",سنگ,64885000,8500000000
9624,شریعتی نرسیده به میرداماد,163,4,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,125000000,20375000000
9625,پاسداران شمالی خ نارنجستان یكم,270,5,4,14,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,95000000,25650000000
9626,محمودیه خ مهر,280,4,4,3,1,1,1,1,10,شخصي,"کولر,آسانسور,گاز",ترکیبی,180000000,50400000000
9627,دربند خ اسداللهی بالاترازسورتمه,115,5,2,15,1,1,1,1,5,قولنامه اي,"شوفاژ,کولر,آسانسور,گاز",سنگ,53913000,6200000000
9628,نبرد جنوبی خ گلستان هجدهم,55,3,1,30,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,43636000,2400000000
9629,نبردجنوبی خ بقائی انصار دهم نرگس نهم پ 8,63,2,2,20,1,1,0,0,4,شخصي,"کولر,گاز",آجر,40000000,2520000000
9630,نیاوران كاشانك خ شهید اكبر صبوری,98,3,2,4,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,132653000,13000000000
9631,هنگام الغدیر,55,1,1,18,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,41810000,2300000000
9632,نیروی دریائی خ حسینعلی,67,-1,2,25,0,0,0,0,4,شخصي,"کولر,گاز",سنگ,34320000,2300000000
9633,تهران نو میدان امامت,90,4,2,30,0,1,0,0,5,شخصي,"شوفاژ,کولر,گاز",سنگ,33333000,3000000000
9634,سعادت آباد بالاتر از میدان كاج,193,2,3,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,186528000,36000000000
9635,تهرانپارس میدان پروین,63,3,2,13,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,40150000,2530000000
9636,ستاری خ هجرت,110,5,2,17,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,59090000,6500000000
9637,پیروزی پرستار جنوبی,87,4,2,0,1,0,1,1,5,دردست اقدام,"آسانسور,پکیج",سنگ,60000000,5220000000
9638,پیروزی پرستار جنوبی,78,4,2,0,1,0,1,1,5,دردست اقدام,"آسانسور,پکیج",سنگ,60000000,4680000000
9639,نامجو(گرگان) خ لسانی بحری,64,1,2,25,1,1,0,1,3,شخصي,"کولر,پکیج",سنگ,36718000,2350000000
9640,جمهوری خ فلسطین جنوبی خ صالحی ( هلالی ) نبش ك ملیكا پ 3,122,4,3,6,1,0,1,1,4,شخصي,"شوفاژ,آسانسور",سنگ,57377000,7000000000
9641,قنات كوثر ك چهارم,97,4,2,21,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,38140000,3700000000
9642,دولت خ كیكاووس خ رزم جوبین,140,4,3,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,142857000,20000000000
9643,بزرگراه ارتش بلوار اوشان,160,3,3,18,1,1,0,1,4,تعاوني,پکیج,سنگ,71875000,11500000000
9644,میرداماد خ نفت شمالی,120,1,2,0,1,1,1,1,5,شخصي,"آسانسور,جکوزی,گاز",سنگ,130000000,15600000000
9645,میرداماد خ نفت شمالی,90,3,2,0,1,1,1,1,5,شخصي,"آسانسور,جکوزی,گاز",سنگ,130000000,11700000000
9646,بلوار فردوس شرق خ قبادی,190,4,4,15,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,55263000,10500000000
9647,وحیدیه مسیل باختر(گلشن دوست),57,4,1,7,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,63157000,3600000000
9648,وحیدیه مسیل باختر(گلشن دوست),78,2,2,7,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,46153000,3600000000
9649,بلوار فردوس شرق خ ابراهیمی,120,3,3,16,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,60000000,7200000000
9650,ستارخان توحید,118,1,2,0,1,1,1,0,7,دردست اقدام,"کولر,آسانسور,گاز",سنگ,69000000,8142000000
9651,شهیدعراقی نرسیده به بن بست مریم,130,4,3,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,120000000,15600000000
9652,شهیدعراقی نرسیده به بن بست مریم,80,4,2,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,120000000,9600000000
9653,ستارخان خ توكلی,70,4,2,20,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,45710000,3200000000
9654,بلوار فردوس غرب بلوار شقایق جنوبی,97,1,2,16,1,1,1,0,4,شخصي,"شوفاژ,آسانسور,گاز",گرانيت,58762000,5700000000
9655,ظفر نونهالان خ رسول زاده,105,1,2,13,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,67619000,7100000000
9656,تهران نو میدان امامت,53,3,2,25,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,45283000,2400000000
9658,اشرفی اصفهانی روبروی تیراژه,72,1,1,20,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,69444000,5000000000
9659,شریعتی بالاتر از خ طالقانی  خ جواد كارگر,90,5,2,13,1,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور",سنگ,50000000,4500000000
9660,تهرانپارس خ استخر,73,2,2,9,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,48630000,3550000000
9661,تهرانپارس خ رشید جنوبی خ 156,120,2,2,25,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,57500000,6900000000
9662,ولیعصر نرسیده به میدان ولیعصر خ شقایق,125,3,2,30,0,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,35000000,4375000000
9663,شهرزیبا بلوار تعاون,108,2,2,20,1,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",آجر,50925000,5500000000
9664,خ دماوند خ ناصری,50,2,1,8,1,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,48000000,2400000000
9665,تهران نو نرسیده به خ مسیل جاجرود,80,3,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,45000000,3600000000
9666,تهران پارس فلكه 1,117,5,2,4,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,74950000,8770000000
9667,نیرو هوایی میدان چایچی,53,4,1,17,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,37735000,2000000000
9668,پیروزی خ نیكنام شرقی,53,3,1,6,1,1,0,1,5,شخصي,"کولر,گاز",سنگ,47169000,2500000000
9669,پیروزی نرسیده به خ نبردشمالی,116,5,3,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,46120000,5350000000
9670,دروس خ شیدائی خ پابرجا,180,3,3,0,1,1,1,1,5,شخصي,"آسانسور,چیلر,گاز",سنگ,125000000,22500000000
9671,جشنواره خ احسان,90,1,2,0,0,1,1,0,5,قولنامه اي,"شوفاژ,کولر,آسانسور,گاز",سنگ,20550000,1850000000
9672,دروس قبا,117,3,2,18,0,1,0,1,4,شخصي,"شوفاژ,کولر",سنگ,59829000,7000000000
9673,پیروزی نرسیده به خ هفده شهریور,55,2,1,17,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,32727000,1800000000
9675,بلوار ابوذر جنوبی خ مبارزشرقی,62,1,2,20,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,37000000,2294000000
9676,طرشت خ تیموری,106,4,2,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,61320000,6500000000
9677,میدان امام حسین بالاتراز خ صفا,75,4,2,15,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,30000000,2250000000
9678,ستارخان خ نیرو,145,1,2,30,0,0,0,1,2,شخصي,"شوفاژ,کولر,گاز",سنگ,44827000,6500000000
9679,پیروزی نرسیده به خ پاسدارگمنام,85,4,2,8,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,33520000,2850000000
9680,سهرودی شمالی خ اندیشه,110,4,2,6,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,86363000,9500000000
9681,گاندی نرسیده به ك پنجم,107,1,2,25,1,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",سنگ,57000000,6099000000
9682,تهرانپارس بالاتر از باقری خ 142,80,4,2,30,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,170000000,6970000000
9683,شریعتی پایین تر از خ بهار شیراز,70,2,2,26,0,0,0,1,4,شخصي,"کولر,پکیج,گاز",آجر,47142000,3300000000
9684,شریعتی جنب دوراهی قلهك,75,3,2,20,1,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,72666000,5450000000
9685,بزرگراه محلاتی خ شهمیرزادی,73,2,2,17,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,39041000,2850000000
9686,پیروزی نرسیده به خ نبرد,100,2,2,0,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,62000000,6200000000
9687,آیت الله كاشانی بلوار شقایق,72,4,2,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,56250000,4050000000
9688,سهروردی خ توپچی,186,1,3,3,1,1,1,1,8,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,115000000,21390000000
9689,ولنجك نرسیده به خ 17,160,5,3,20,1,1,1,1,11,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,120000000,19200000000
9690,بزرگراه محلاتی خ گیلكی شمالی نبش ك كشاورز پ 122,48,3,1,17,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,31875000,1530000000
9691,تهران پارس خ بهار,67,3,2,21,1,1,0,0,4,شخصي,"کولر,گاز",سنگ,50740000,3400000000
9692,بزرگراه بابایی شهرك البرز,92,8,2,5,1,1,1,1,10,تعاوني,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,52170000,4800000000
9693,نارمك خ افشاری,75,3,2,30,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,38000000,2850000000
9694,جنت آباد شمالی خ میثاق,139,4,3,4,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,70503000,9800000000
9695,انقلاب نرسیده به میدان امام حسین,45,0,1,20,0,1,0,1,3,شخصي,"کولر,گاز",سنگ,33050000,1950000000
9696,هنگام شمیران نو ك 9,40,3,1,11,0,0,0,0,3,قولنامه اي,"کولر,گاز",سنگ,21250000,850000000
9697,شریعتی نرسیده به سینما ایران,98,1,2,30,1,0,1,0,9,قولنامه اي,"کولر,آسانسور,گاز",سنگ,17346000,1700000000
9698,دلاوران تكاوران جنوبی,84,2,2,18,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,35710000,3000000000
9699,فرجام خ اردیبهشت,92,1,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,56000000,5152000000
9700,جشنواره خ زهدی,47,5,1,5,1,0,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,استخر,گاز",سنگ,53190000,2500000000
9701,زعفرانیه بلوار بهزادی,278,1,4,17,1,1,1,1,5,شخصي,"فن کوئر,آسانسور,استخر,حیاط,سونا,جکوزی",سنگ,125899000,35000000000
9702,پیروزی خ شكوفه خ درودیان,83,4,2,17,0,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,35000000,2905000000
9703,ظفر زرگنده خ دلیری,110,5,2,0,1,1,1,1,5,دردست اقدام,"شوفاژ,کولر,آسانسور,پکیج",سنگ,80000000,8800000000
9704,جمالزاده جنوبی خ زرین قدم پ 35,55,2,1,24,0,1,0,0,2,شخصي,"کولر,گاز",سيمان,40000000,2200000000
9705,سوهانك نرسیده به دانشگاه آزاد,163,4,2,3,1,1,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,16300000000
9706,پیروزی خ نبرد شمالی,59,4,2,30,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,29322000,1730000000
9707,"تهران پارس بلوار شاهد 
كوچه 208",80,3,2,11,0,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,41500000,3320000000
9708,تهران پارس بلوار پروین خ 212,67,1,2,18,0,0,0,0,4,شخصي,"کولر,حیاط,گاز",سنگ,39550000,2650000000
9709,پیروزی خ صد دستگاه,90,2,2,30,0,1,0,0,2,شخصي,"کولر,گاز",سنگ,30000000,2700000000
9710,میدان امام حسین خ كمال الدین,92,1,2,22,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,23913000,2200000000
9711,پیروزی خ صفا شرقی,63,4,2,10,1,1,0,0,4,شخصي,"کولر,گاز",سنگ,36507000,2300000000
9712,ظفر نونهالان خ دلیری,185,2,3,5,1,1,1,0,4,شخصي,"فن کوئر,آسانسور,گاز",سنگ,71351000,13200000000
9713,شهرآراء خ پاتریس,115,5,2,3,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,57391000,6600000000
9714,"تهران پارس 
بین باقری و ایزدپناه",58,4,1,13,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,62060000,3600000000
9715,تهران نو خ بصیر,47,1,1,20,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,55319000,2600000000
9716,پیروزی خ تاجری,52,0,1,17,1,1,0,0,4,شخصي,"کولر,گاز",آجر,36538000,1900000000
9717,هنگام خ طاهرخانی خ آزادگان,165,6,3,3,1,1,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,66000000,10890000000
9718,تهرانپارس بلوار پروین بین بلوار و 131,60,2,1,26,0,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",سنگ,37000000,2220000000
9719,شهرزیبا بلوار تعاون,110,3,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,90000000,9900000000
9720,طرشت ك لطفعلی خانی,106,4,2,8,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,61320000,6500000000
9721,بزرگراه محلاتی چهارراه میثم خ صاحب الزمان ك بلال حبشی غربی پ 41,53,2,1,30,1,1,0,0,2,شخصي,"کولر,گاز",سنگ,37735000,2000000000
9722,پیروزی خ پرستار شمالی,57,4,2,12,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,47017000,2680000000
9723,نبرد جنوبی خ ربذه شمالی ك یازدهم پ 6 واحد 6,69,3,2,19,0,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,43478000,3000000000
9724,بلوار ابوذر جنوبی خ بقائی خ مسلم پ 41,65,4,2,19,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,38461000,2500000000
9725,خ دماوند نرسیده به بیمارستان بوعلی,42,2,1,17,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,31666000,1330000000
9726,تهرانپارس بزرگراه شهید باقری خ زفرقندی خ قزاقی,97,1,2,14,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,61850000,6000000000
9727,تهرانپارس خ استخر,50,5,1,10,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,50000000,2500000000
9728,تهرانپارس خ گیو,100,1,2,7,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,62000000,6200000000
9729,خواجه نظام خ اجاره دار,60,3,2,20,0,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,34166000,2050000000
9730,هروی نرسیده به مترو حسین آباد,110,9,2,0,1,1,1,1,11,دردست اقدام,"کولر,آسانسور,گاز",سنگ,86363000,9500000000
9731,دروس خ وارسته,110,2,2,16,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,90909000,10000000000
9732,هنگام چهارراه استقلال خ استقلال,128,5,3,10,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",ترکیبی,50070000,6410000000
9733,فاطمی خ جویبار,138,4,3,30,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,53000000,7314000000
9734,سعادت آباد شهرك بام تهران,93,11,2,13,1,1,1,1,11,تعاوني,"شوفاژ,کولر,آسانسور,مستخدم,گاز",کنيتکس,80000000,7440000000
9735,مینی سیتی شهرك محلاتی,135,5,3,0,1,1,1,1,5,شخصي,آسانسور,سنگ,80000000,10800000000
9736,هنگام شمیران نو,70,2,2,5,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,40000000,2800000000
9737,قنات كوثر بلوار مطهری,85,3,2,25,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,48230000,4100000000
9738,انقلاب نرسیده به میدان فردوسی,91,4,2,21,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,35000000,3185000000
9739,طالقانی خ سمیه,92,2,2,30,0,0,0,1,2,شخصي,"کولر,گاز",سيمان,41304000,3800000000
9740,وحیدیه ایستگاه مدرسه,70,2,2,10,0,1,1,0,5,شخصي,"کولر,آسانسور,گاز",سنگ,34285000,2400000000
9741,نامجو خ سلمان فارسی,51,3,1,20,0,0,0,0,3,شخصي,"کولر,گاز",آجر,29411000,1500000000
9742,اتوبان بابایی شهرك بهشتی,109,9,2,10,1,1,1,1,9,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,38990000,4250000000
9743,جشنواره خ زهدی,85,2,2,0,1,1,1,0,5,دردست اقدام,"کولر,آسانسور,پکیج,گاز",سنگ,45880000,3900000000
9744,تهران پارس خ 192 شرقی,96,2,2,18,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,53640000,5150000000
9745,تهران پارس فلكه 1 خ 116,60,3,2,18,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,45830000,2750000000
9746,جشنواره خ درختی,80,4,2,15,1,1,0,0,4,شخصي,"پکیج,گاز",سنگ,34375000,2750000000
9747,حكیمیه خ سحر,127,3,3,8,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,51180000,6500000000
9748,مجیدیه شمالی 16متری دوم شمالی خ لاهیجانی,100,1,2,30,1,1,0,1,2,شخصي,"شوفاژ,کولر,گاز",سنگ,58000000,5800000000
9749,جشنواره خ زهدی,62,2,1,2,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,41000000,2542000000
9750,جشنواره خ امین بالاتر از میدان والفجر,78,3,2,2,0,1,1,1,5,قولنامه اي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,22820000,1780000000
9751,پیروزی خ نبرد شمالی,65,2,2,17,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,37692000,2450000000
9752,بزرگراه رسالت خ 16متری دوم شمالی,89,1,2,6,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,45000000,4005000000
9753,تهران پارس خ استخر,125,5,2,11,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,64000000,8000000000
9754,تهران پارس خ 180 غربی,79,4,2,8,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,73410000,5800000000
9755,ستارخان توحید,170,2,2,30,0,0,0,1,3,شخصي,"کولر,گاز",سنگ,41176000,7000000000
9756,دریان نو نرسیده به خ پنجم,201,1,3,6,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",ترکیبی,75000000,15075000000
9757,تهران پارس فلكه 3 خ عادل,80,3,2,20,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,46250000,3700000000
9758,تهران پارس خ بهار بین 103و105,103,4,2,20,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,41550000,4280000000
9759,تهرانپارس خ 168 غربی,72,2,2,25,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,55550000,4000000000
9760,كوی فراز كوچه یاس,185,4,2,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,108108000,20000000000
9761,شریعتی روبروی میرداماد,102,4,2,4,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,110000000,11220000000
9762,بزرگراه محلاتی خ میرهاشمی  مجتمع گل,53,4,1,20,1,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,37547000,1990000000
9763,اتوبان بابایی شهرك بهشتی,87,1,2,0,1,1,1,1,16,تعاوني,"شوفاژ,آسانسور,حیاط,گاز",سنگ,46460000,4600000000
9764,اتوبان بابایی شهرك بهشتی,125,10,3,6,1,1,1,1,19,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,58800000,7350000000
9765,صادقیه خ گلناز,94,1,2,30,1,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,74468000,7000000000
9766,تهرانپارس فلكه سوم خ ضرغامی,132,5,3,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,67000000,8844000000
9767,شمس آباد خ منصوری روبروی بوستان مجیدیه,147,5,3,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,67000000,9849000000
9768,استاد معین خ نوری نیاركی خ ارغوان بن بست ناصری پ 11,51,2,1,13,0,0,0,0,4,شخصي,"کولر,گاز",سنگ,38039000,1940000000
9769,نامجو خ سلمان فارسی,57,3,1,13,0,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,30263000,1725000000
9770,فرجام میدان صد,92,4,2,26,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,39673000,3650000000
9771,بلوار ابوذر جنوبی خ زمزم خ ربذه شمالی نبش ك چهاردهم پ  115,92,0,2,30,1,1,0,1,3,شخصي,"کولر,گاز",سنگ,54347000,5000000000
9772,بزرگراه محلاتی خ نصر پنجم,73,4,1,20,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,25342000,1850000000
9773,دروازه شمیران خ ناطقی(خورشید),55,4,1,20,0,1,0,0,4,شخصي,"کولر,گاز",آجر سه سانت,34550000,1900000000
9774,دیباجی جنوبی خ ارغوان,110,4,2,22,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,80000000,8800000000
9775,دروس بلور شهرزاد خ قبا,139,5,2,30,1,1,1,1,12,شخصي,"شوفاژ,کولر,آسانسور,گاز",کنيتکس,75539000,10500000000
9776,تهرانپارس بین 105و 107,103,3,3,30,1,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,63100000,6500000000
9777,دروازه شمیران خ خورشید(ناطق),80,4,2,30,1,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,27500000,2200000000
9778,پیروزی نرسیده به خ پورمند,74,3,2,16,0,1,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,36486000,2700000000
9779,مجیدیه جنوبی ك صالحی ك طالبان,65,2,2,30,0,1,0,1,5,شخصي,"کولر,گاز",آجر سه سانت,40769000,2650000000
9780,فاطمی میدان گلها,89,4,2,5,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,73000000,6497000000
9781,فاطمی خ دائمی,142,3,3,5,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,62000000,8804000000
9782,وحیدیه میدان تسلیحات,52,1,1,13,0,1,0,0,3,شخصي,"کولر,گاز",سنگ,42307000,2200000000
9783,اشرفی اصفهانی بالاتراز پونك,60,4,1,30,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,65000000,3900000000
9784,جنت آباد جنوبی خ مطهری,104,3,2,20,0,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",سنگ,45673000,4750000000
9785,پیروزی نرسیده به خ كرمان,65,4,2,23,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,24000000,1560000000
9786,فرجام میدان 48,53,4,1,10,0,0,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,50943000,2700000000
9787,سراج كوچه مرادی,48,3,1,15,1,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,43750000,2100000000
9788,سراج خ والائیان شمالی,50,1,1,15,0,1,0,1,3,شخصي,"کولر,گاز",سنگ,52000000,2600000000
9789,سعادت آباد نرسیده به میدان بهرود,112,3,2,16,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,65000000,7280000000
9790,آجودانیه نرسیده به خ 12,142,3,3,16,1,1,1,0,14,شخصي,"کولر,آسانسور,پکیج,گاز",سيمان,133000000,18886000000
9791,نیرو هوایی خ 30 متری,85,5,2,19,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,43529000,3700000000
9792,نیرو هوایی خ هفتم,115,2,2,0,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,70000000,8050000000
9793,پیروزی میدان شكوفه خ دژكام,66,4,2,4,0,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,36363000,2400000000
9794,جمالزاده جنوبی نبش لبافی نژاد بن بست فرزان پ 5 واحد 3,65,2,1,3,0,1,1,0,5,شخصي,"کولر,آسانسور,گاز",سنگ,43076000,2800000000
9795,میدان رسالت بالاتر از مسجد رسول,144,5,3,12,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,52083000,7500000000
9796,پیروزی نرسیده به خ مقداد,70,2,2,20,1,1,0,1,4,شخصي,"کولر,پکیج",آجر سه سانت,43571000,3050000000
9797,میدان رسالت خ سلمان طرقی,54,3,1,18,0,1,0,1,4,شخصي,"شوفاژ,کولر",سنگ,46851000,2530000000
9798,پیروزی نرسیده به خ كلینی,59,3,1,3,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,41355000,2440000000
9799,قنات كوثر بلوار مطهری,87,4,2,17,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,55170000,4800000000
9800,پیروزی خ پاسدارگمنام,60,2,1,6,1,0,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,38333000,2300000000
9801,فرجام خ حیدرخانی خ احدزاده,63,3,2,2,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,61000000,3843000000
9802,هنگام خ علم و صنعت,53,2,1,18,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,47160000,2500000000
9803,هنگام چهارراه استقلال,81,4,2,19,1,1,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سيمان,42000000,3402000000
9804,پبروزی نرسیده به خ صددستگاه,76,4,2,20,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,38157000,2900000000
9805,تهران پارس بین فلكه 2و3 خ 186,112,5,3,7,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,72320000,8100000000
